index	rva	size	description
0	00000000	00000000	Export Directory [.edata (or where ever we found it)]
1	00017000	00000524	Import Directory [parts of .idata]
2	00015000	000002cc	Resource Directory [.rsrc]
3	00000000	00000000	Exception Directory [.pdata]
4	00000000	00000000	Security Directory
5	00016000	00000a34	Base Relocation Directory [.reloc]
6	00000000	00000000	Debug Directory
7	00000000	00000000	Description Directory
8	00000000	00000000	Special Directory
9	0000f5f0	00000018	Thread Storage Directory [.tls]
a	00000000	00000000	Load Configuration Directory
b	00000000	00000000	Bound Import Directory
c	000131d0	0000016c	Import Address Table Directory
d	00000000	00000000	Delay Import Directory
e	00000000	00000000	CLR Runtime Header
f	00000000	00000000	Reserved
