name	raw_size	raw_ptr	vma	lma	file_off	align	flags
.text	0000bfe0	00001000	10001000	10001000	00001000	2**2	CONTENTS, ALLOC, LOAD, READONLY, CODE
.data	00000c3c	0000d000	1000d000	1000d000	0000d000	2**2	CONTENTS, ALLOC, LOAD, DATA
.rdata	00001b5c	0000e000	1000e000	1000e000	0000e000	2**2	CONTENTS, ALLOC, LOAD, READONLY, DATA
.eh_frame	00001384	00010000	10010000	10010000	00010000	2**2	CONTENTS, ALLOC, LOAD, READONLY, DATA
.bss	00000a30	00000000	10012000	10012000	00000000	2**2	ALLOC
.idata	000009ac	00012000	10013000	10013000	00012000	2**2	CONTENTS, ALLOC, LOAD, READONLY, DATA
.tls	00000008	00013000	10014000	10014000	00013000	2**2	CONTENTS, ALLOC, LOAD, DATA
.rsrc	000002d0	00014000	10015000	10015000	00014000	2**2	CONTENTS, ALLOC, LOAD, READONLY, DATA
.reloc	00000a34	00015000	10016000	10016000	00015000	2**2	CONTENTS, LOAD, READONLY, DATA
.idata	00002000	00016000	10017000	10017000	00016000	2**2	CONTENTS, ALLOC, LOAD, CODE, DATA
